id,réf,nomducostume,epoque,epoque2,sexe,couleur_dominante,couleurs_autres,type,voile,quantite,lieu,bijoux
51,COI51,Mentonnière blanche tube,XII,,F,blanc,,,non,3,BCOI3,sans_bijoux
52,COI52,Coiffe rouge avec voile et perles noires et transparentes,XII,XV,F,rouge,noir blanc,,oui,1,BCOI3,avec_bijoux
53,COI53,Coiffe bleu canard avec voile et bandeau bleu et blanc avec perles au centre,XII,,F,bleu,blanc,,oui,1,BCOI3,avec_bijoux
54,COI54,Coiffe blanche avec ruban rose (et epingle a nourrice ),XII,,F,blanc,rose,,non,1,BCOI3,sans_bijoux
55,COI55,Mentonnière en voile à épingler,XII,,F,blanc,,,non,2,BCOI3,sans_bijoux
56,COI56,Voile disponible pour une coiffe,XII,XV,F,blanc,,,oui,2,BCOI3,sans_bijoux
57,COI57,Coiffe verte foncé avec voile et ruban vert et perles blanches,XII,XV,F,vert,blanc,,oui,1,BCOI4,avec_bijoux
58,COI58,Coiffe dur en bronze avec 2 bandeaux noirs et pièce au centre et bijoux,XII,,F,bronze,noir,,non,1,BCOI4,avec_bijoux
59,COI59,Coiffe bleu foncé avec voile et bijou or et perles grises au centre,XII,,F,bleu,or gris blanc,,oui,1,BCOI4,avec_bijoux
60,COI60,Coiffe bleu foncé avec voile et bandeau bleu en plus foncé et perles blanches,XII,,F,bleu,blanc,,oui,1,BCOI4,avec_bijoux
61,COI61,Coiffe motifs rouges avec voile et bandeau blanc avec perles rouges dessus et bijou,XII,XV,F,mordoré,blanc,,oui,1,BCOI4,avec_bijoux
62,COI62,Coiffe blanche avec voile et bandeau bleu turquoise enroulé de collier de perle blanches et bijou,XII,,F,blanc,bleu,,oui,1,BCOI4,avec_bijoux
63,COI63,Coiffe blanche avec voile et bandeau tissu marron et motifs avec losange blanc et or,XII,XV,F,blanc,rouge marron or,,oui,1,BCOI4,avec_bijoux
64,COI64,Coiffe violette claire avec bandeau blanc et bleu et perles blanches,XII,,F,violet,bleu blanc,,oui,1,BCOI4,avec_bijoux
65,COI65,Coiffe rose avec voile et collier de perles,XII,XV,F,rose,blanc,,oui,1,BCOI4,avec_bijoux
66,COI66,Coiffe jaune doré avec voile et bandeau motifs marrons verts blancs,XV,XII,F,or,vert marron blanc,,oui,1,BCOI4,sans_bijoux
67,COI67,Coiffe rayures blanches et vertes avec voile et perles bleu vert et orange,XII,,F,vert,blanc bleu orange,,oui,1,BCOI4,avec_bijoux
68,COI68,Coiffe bleu blanc avec voile et bandeau blanc avec perles et bijou doré,XII,,F,bleu,blanc or,,oui,1,BCOI4,avec_bijoux
69,COI69,Coiffe marron vert et bandeau blanc et jaune avec perles,XII,,F,marron,blanc or,,non,1,BCOI4,avec_bijoux
70,COI70,Coiffe bleu foncé avec voile et broderie or et cou,XII,,JF,bleu,or blanc,,oui,1,BCOI4,sans_bijoux
71,COI71,Coiffe motifs carré verts et beige avec voile et bandeau vert,XII,,F,verts,blanc,,oui,1,BCOI4,sans_bijoux
72,COI72,Hénin pointu bleu points blancs avec voile et collier de perles,XII,,F,bleu,blanc,,oui,1,BCOI5,avec_bijoux
73,COI73,Coiffe noir avec fourrure forme v et broderies or et bijou or,XV,,F,noir,or,,non,1,BCOI5,avec_bijoux
74,COI74,Hénin pointu brodée noir et jaune dorée avec voile noir et dorée,XII,,F,noir,or blanc,,oui,1,BCOI5,avec_bijoux
75,COI75,Hénin modèle fée blanc test jamais fini avec voile etat douteux,XII,,F,blanc,,,oui,1,BCOI5,sans_bijoux
76,COI76,Hénin pointu beige avec voile et broderie à la couture,XII,,F,blanc,beige,,oui,1,BCOI5,sans_bijoux
77,COI77,Boudin homme rouge bordeau et voile noir,XII,XV,H,rouge,noir,,non,1,BCOI6,sans_bijoux
78,COI78,Boudin homme vert foncé et voile noir,XII,XV,H,vert,noir,,non,1,BCOI6,sans_bijoux
79,COI79,Boudin homme gris motifs jaune et voile jaune,XII,XV,H,gris,jaune orange,,non,1,BCOI6,sans_bijoux
80,COI80,Boudin homme noir avec voile vert foncé,XII,XV,H,noir,vert,,non,1,BCOI6,sans_bijoux
81,COI81,Boudin homme orange avec voile orange,XII,XV,H,orange,,,non,1,BCOI6,sans_bijoux
82,COI82,Boudin homme noir et motifs rouge doré avec voile noir et doré et tour de cou saladin (costume arabe),XII,,H,noir,vert rouge,,oui,1,BCOI6,sans_bijoux
83,COI83,Boudin homme noir avec voile noir,XII,XV,H,noir,,,non,1,BCOI6,sans_bijoux
84,COI84,Boudin homme rouge et motifs jaune avec voile meme tissu,XII,XV,H,rouge,orange,,non,1,BCOI6,sans_bijoux
85,COI85,Couronne richard cœur de lion effet or,XII,,H,or,,,non,1,BCOI7,sans_bijoux
86,COI86,Boudin homme noir avec voile noir et bijou,XII,XV,H,noir,,,non,1,BCOI7,avec_bijoux
87,COI87,Boudin homme jaune brodé avec voile jaune brodé,XII,XV,H,jaune,,,non,1,BCOI7,sans_bijoux
88,COI88,Boudin homme rouge et noir avec voile noir,XII,XV,H,noir,rouge,,non,1,BCOI7,sans_bijoux
89,COI89,Boudin homme noir avec voile noir et bleu,XII,XV,H,noir,bleu,,non,1,BCOI7,sans_bijoux
90,COI90,Boudin homme rouge avec voile rouge foncé,XII,XV,H,rouge,,,non,1,BCOI7,sans_bijoux
91,COI91,Boudin homme rouge avec voile même tissu,XII,XV,H,rouge,,,non,1,BCOI7,sans_bijoux
92,COI92,Boudin homme orange avec voile meme tissu,XII,XV,H,orange,,,non,1,BCOI7,sans_bijoux
93,COI93,Chapeau prince de condé  vert de gris avec ruban blanc,XVI,,H,vert,blanc,,non,1,BCOI7,sans_bijoux
94,COI94,Boudin homme rouge avec voile rouge et blanc,XII,XV,H,rouge,blanc,,non,1,BCOI7,sans_bijoux
95,COI95,Chapeau de page violette avec perles oranges et froufrou marron et couture verte,XV,XVI,H,violet,marron vert,,non,1,BCOI8,sans_bijoux
96,COI96,Chapeau noir fourrure,toutes,,M,noir,,,non,1,BCOI8,sans_bijoux
97,COI97,Coiffe marron avec coutures blanches forme carré,XII,,H,marron,blanc,,non,1,BCOI8,sans_bijoux
98,COI98,Chapeau bleu foncé avec ruban doré,XV,,H,bleu,or,,non,1,BCOI8,sans_bijoux
99,COI99,Foulard noir et doré,,,,noir,or,,non,1,BCOI8,sans_bijoux
100,COI100,Mitre de diacre blanc et argent,XII,XV,H,blanc,vert,,non,1,BCOI8,sans_bijoux
101,COI101,Coiffe russe fourrure noir,toutes,,M,noir,,,non,1,BCOI8,sans_bijoux
102,COI102,Mître évèque violette interieur jaune avec perles et broderies or,toutes,,M,violet,or rouge blanc,,non,1,BCOI8,avec_bijoux
103,COI103,Cagoule noire avec visière verte de bourreau ou  marionnettiste,,,,noir,vert,,non,2,BCOI8,sans_bijoux
104,COI104,Chapeau noir avec élastique,19eme,,F,noir,,,non,1,BCOI11,sans_bijoux
105,COI105,Chapeau rouge en laine ,19eme,1950,F,rouge,noir,,non,1,BCOI11,sans_bijoux
106,COI106,Capeline femme feutre avec élastique,19eme,1950,F,noir,rose,,non,1,BCOI11,sans_bijoux
107,COI107,Chapeau marron femme béret avec élastique,1950,1,F,marron,,,non,1,BCOI11,sans_bijoux
108,COI108,Chapeau noir avec élastique et boutons noir,1950,,F,noir,,,non,1,BCOI11,sans_bijoux
109,COI109,Furet ou renard sur le cou,19eme,,F,marron,blanc,,non,1,BCOI11,sans_bijoux
110,COI110,Serre tête mariage,19eme,1950,F,blanc,,,non,1,BCOI11,sans_bijoux
111,COI111,Chapeau russe noir,19eme,1950,M,noir,,,non,1,BCOI11,sans_bijoux
112,COI112,Chapeau femme noir avec ruban blanc avec élastique,19eme,1950,F,noir,blanc,,non,1,BCOI11,sans_bijoux
113,COI113,Chapeau paille avec fleur et élastique orange,1950,,F,jaune,blanc,,non,1,BCOI11,sans_bijoux
114,COI114,Serre tête plume d’oie,19eme,1950,F,blanc,,,non,1,BCOI11,sans_bijoux
115,COI115,Chapeau beige rigide avec bijoux doré avec élastique,19eme,1950,F,beige,,,non,1,BCOI11,avec_bijoux
116,COI116,Chapeau paille multicolore type chinois avec ruban élastique avec point rouge ,1950,,F,jaune,rouge blanc jaune vert bleu,,non,1,BCOI11,sans_bijoux
117,COI117,Chapeau noir russe rond avec et sans élastique,19eme,1950,M,noir,,,non,2,BCOI11,sans_bijoux
118,COI118,Capeline femme rouge bordeaux avec ruban et élastique ,19eme,1950,F,rouge,,,non,1,BCOI11,sans_bijoux
119,COI119,Chapeau noir femme avec nœud et élastique,1950,,F,noir,,,non,1,BCOI11,sans_bijoux
120,COI120,Chapeau beige blanc avec élastique,1950,,F,beige,blanc,,non,1,BCOI11,sans_bijoux
121,COI121,Chapeau paille blanc et noir avec nœud a pois noir avec élastique,19eme,1950,F,blanc,noir,,non,1,BCOI11,sans_bijoux
122,COI122,Béret beige ,1950,,F,beige,,,non,1,BCOI11,sans_bijoux
123,COI123,Chapeau paille beige avec ruban avec élastique ,1950,,F,beige,,,non,1,BCOI11,sans_bijoux
124,COI124,Chapeau poil angora rouge bordeaux ,1950,,F,rouge,,,non,1,BCOI11,sans_bijoux
125,COI125,Chapeau femme blanc ,1950,,F,blanc,,,non,1,BCOI11,sans_bijoux
126,COI126,Chapeau cancan ruban jaune chapeau noir avec fleur rouge,19eme,,F,jaune,rouge bleu noir blanc vert,,non,1,BCAN1,sans_bijoux
127,COI127,Chapeau cancan ruban bleu clair chapeau noir jaune bleu foncé rouge,19eme,,F,bleu,noir rouge jaune vert blanc,,non,1,BCAN1,sans_bijoux
128,COI128,Chapeau cancan ruban bleu foncé noir blanc et fleur bleu,19eme,,F,bleu,noir blanc vert,,non,1,BCAN1,sans_bijoux
129,COI129,Chapeau cancan ruban jaune chapeau noir et jaune blanc,19eme,,F,jaune,vert blanc noir,,non,1,BCAN1,sans_bijoux
130,COI130,Chapeau cancan ruban bleu clair chapeau noir bleu rouge blanche ,19eme,,F,bleu,rouge blanc noir vert,,non,1,BCAN1,sans_bijoux
131,COI131,Chapeau cancan ruban bleu foncé et chapeau noir bleu foncé blanc et fleur jaune ,19eme,,F,bleu,jaune noir blanc ,,non,1,BCAN1,sans_bijoux
132,COI132,Chapeau cancan ruban rouge chapeau noir et rouge avec fleur,19eme,,F,rouge,noir blanc bleu jaune vert,,non,1,BCAN1,sans_bijoux
133,COI133,Chapeau cancan ruban bleu foncé avec chapeau noir et bleu foncé avec fleurs rouge et blanches,19eme,,F,bleu,vert blanc noir rouge,,non,1,BCAN1,sans_bijoux
134,COI134,Chapeau cancan ruban rouge chapeau noir et rouge bleu avec fleur blanche,19eme,,F,rouge,noir bleu vert blanc,,non,1,BCAN1,sans_bijoux
135,COI135,Chapeau cancan ruban jaune chapeau noir et jaune avec fleur blanche ,19eme,,F,jaune,noir vert blanc,,non,1,BCAN1,sans_bijoux
136,COI136,Chapeau cancan ruban bleu clair chapeau noir bleu clair rouge avec fleurs bleu et blanches,19eme,,F,bleu,rouge noir blanc jaune,,non,1,BCAN1,sans_bijoux
137,COI137,Perruque cheveux noirs mi long,toutes,,M,noir,,,non,1,BPER1,sans_bijoux
138,COI138,Perruque hommes des cavernes marron long avec barbe marron,toutes,,M,marron,,,non,1,BPER1,sans_bijoux
139,COI139,Perruque cheveux marrons longs bouclés ,toutes,,M,marron,,,non,2,BPER1,sans_bijoux
140,COI140,Perruque cheveux noirs frisé courts,toutes,,M,noirs,,,non,1,BPER1,sans_bijoux
141,COI141,Perruque cheveux roux longs bouclés ,toutes,,M,roux,,,non,2,BPER1,sans_bijoux
142,COI142,Barbe rousse longue ,toutes,,M,roux,,,non,2,BPER1,sans_bijoux
143,COI143,Barbe brune longue,toutes,,M,marron,,,non,2,BPER1,sans_bijoux
144,COI144,Perruque cheveux marrons mi-longs lisses,toutes,,M,marron,,,non,1,BPER1,sans_bijoux
145,COI145,Perruque hommes des cavernes noirs longs sale,toutes,,M,noir,,,non,3,BPER1,sans_bijoux
146,COI146,Perruque cheveux blonds courts ,toutes,,M,blanc,,,non,1,BPER1,sans_bijoux
147,COI147,Perruque mortisia sorcière noir avec mèches blanches longs,toutes,,M,noir,blanc,,non,1,BPER1,sans_bijoux
148,COI148,Barbe noire longue,toutes,,M,noir,,,non,2,BPER1,sans_bijoux
149,COI149,Perruque cheveux noirs longs derrières et courts devant,toutes,,M,noir,,,non,1,BPER1,sans_bijoux
150,COI150,Perruque cheveux blancs type louis 16 révolution,toutes,,M,blanc,,,non,2,BPER1,sans_bijoux
151,COI151,Perruque cheveux blonds court lisses ,toutes,,M,blanc,,,non,1,BPER1,sans_bijoux
152,COI152,Perruque cheveux blonds brun court bouclés ,toutes,,M,blanc,,,non,1,BPER1,sans_bijoux
153,COI153,Perruque cheveux brun foncé courts lisses,toutes,,M,marron,,,non,1,BPER1,sans_bijoux
154,COI154,Ensemble druide cheveux et barbe blancs et longs,toutes,,M,blanc,,,non,1,BPER1,sans_bijoux
155,COI155,Chapeau marron russe ,toutes,,M,marron,,,non,1,BCOI11,sans_bijoux
156,COI156,Chapeau gavroche avec perruque marron,19eme,1950,H,gris,marron,,non,1,BCOI11,sans_bijoux
157,COI157,Casquette ancienne grise à carreaux ,19eme,1950,H,gris,,,non,1,BCOI11,sans_bijoux
158,COI158,Chapka bonnet laine marron,1950,,H,marron,,,non,1,BCOI11,sans_bijoux
159,COI159,Casquette ancienne marron clair avec un bouton à la visière,,,,marron,,,non,1,BCOI11,sans_bijoux
